128 , 1 , 12068718
128 , 2 , 12233208
128 , 4 , 12366283
128 , 8 , 12166520
128 , 16 , 13304956
128 , 32 , 9606204
256 , 1 , 14483338
256 , 2 , 14204445
256 , 4 , 17296423
256 , 8 , 13819612
256 , 16 , 14362734
256 , 32 , 14475050
512 , 1 , 17441175
512 , 2 , 17451623
512 , 4 , 17321652
512 , 8 , 14956594
512 , 16 , 17636043
512 , 32 , 18257049
1024 , 1 , 30563113
1024 , 2 , 27576315
1024 , 4 , 27495407
1024 , 8 , 27403090
1024 , 16 , 24126156
1024 , 32 , 25222955
2048 , 1 , 47018554
2048 , 2 , 46045990
2048 , 4 , 43162797
2048 , 8 , 46893563
2048 , 16 , 72974811
2048 , 32 , 49840314
4096 , 1 , 113791849
4096 , 2 , 143704396
4096 , 4 , 128908003
4096 , 8 , 143034470
4096 , 16 , 146662860
4096 , 32 , 130507906
