128 , 1 , 11553959
128 , 2 , 12059456
128 , 4 , 12507967
128 , 8 , 13445304
128 , 16 , 13057312
128 , 32 , 12827743
256 , 1 , 13656412
256 , 2 , 14335873
256 , 4 , 12725600
256 , 8 , 19390100
256 , 16 , 11827740
256 , 32 , 14263729
512 , 1 , 15348104
512 , 2 , 14686410
512 , 4 , 14996115
512 , 8 , 14746923
512 , 16 , 18411734
512 , 32 , 24331362
1024 , 1 , 28573514
1024 , 2 , 24917748
1024 , 4 , 31402045
1024 , 8 , 24434198
1024 , 16 , 27211760
1024 , 32 , 24905536
2048 , 1 , 50045138
2048 , 2 , 46391965
2048 , 4 , 45942948
2048 , 8 , 51689396
2048 , 16 , 48159542
2048 , 32 , 45783430
4096 , 1 , 112975176
4096 , 2 , 115796375
4096 , 4 , 110990918
4096 , 8 , 113266963
4096 , 16 , 120497919
4096 , 32 , 117867880
