128 , 1 , 12054430
128 , 2 , 11767306
128 , 4 , 13279903
128 , 8 , 12123162
128 , 16 , 13410687
128 , 32 , 13231747
256 , 1 , 14480833
256 , 2 , 15270431
256 , 4 , 14802170
256 , 8 , 10729519
256 , 16 , 18312055
256 , 32 , 14468787
512 , 1 , 19631424
512 , 2 , 14820815
512 , 4 , 18210511
512 , 8 , 22833022
512 , 16 , 18373524
512 , 32 , 18298586
1024 , 1 , 25319995
1024 , 2 , 28058672
1024 , 4 , 27458299
1024 , 8 , 27737893
1024 , 16 , 23348211
1024 , 32 , 27824669
2048 , 1 , 54483181
2048 , 2 , 49981256
2048 , 4 , 52953080
2048 , 8 , 47511340
2048 , 16 , 55096407
2048 , 32 , 52331786
4096 , 1 , 129045177
4096 , 2 , 153655314
4096 , 4 , 127182647
4096 , 8 , 164809208
4096 , 16 , 128551487
4096 , 32 , 124016131
