1 , 0.075000
2 , 0.054883
4 , 0.108203
8 , 0.189844
16 , 0.325000
32 , 0.731250
64 , 1.518750
128 , 3.412500
256 , 6.725000
512 , 13.550000
1 , 0.015723
2 , 0.033789
4 , 0.038477
8 , 0.109375
16 , 0.200781
32 , 0.442188
64 , 0.796875
128 , 1.818750
256 , 3.550000
512 , 7.225000
1024 , 14.200000
1 , 0.007764
2 , 0.013916
4 , 0.028906
8 , 0.054492
16 , 0.112500
32 , 0.221094
64 , 0.440625
128 , 0.868750
256 , 1.793750
512 , 3.487500
1024 , 6.975000
2048 , 13.550000
1 , 0.003992
2 , 0.006812
4 , 0.010986
8 , 0.027344
16 , 0.055664
32 , 0.112500
64 , 0.218750
128 , 0.421875
256 , 0.875000
512 , 1.793750
1024 , 3.500000
2048 , 6.750000
4096 , 13.900000
1 , 0.001672
2 , 0.003479
4 , 0.006836
8 , 0.014014
16 , 0.026270
32 , 0.054102
64 , 0.108594
128 , 0.215625
256 , 0.431250
512 , 0.875000
1024 , 1.743750
2048 , 3.537500
4096 , 7.250000
8192 , 12.500000
1 , 0.029770
2 , 0.002155
4 , 0.003552
8 , 0.006787
16 , 0.013672
32 , 0.029590
64 , 0.055469
128 , 0.108203
256 , 0.230469
512 , 0.446875
1024 , 0.912500
2048 , 1.793750
4096 , 3.487500
8192 , 7.075000
16384 , 14.200000
1 , 0.864961
2 , 0.000784
4 , 0.001703
8 , 0.003247
16 , 0.006641
32 , 0.012500
64 , 0.027344
128 , 0.055859
256 , 0.108203
512 , 0.214844
1024 , 0.465625
2048 , 0.853125
4096 , 1.687500
8192 , 3.425000
16384 , 7.100000
32768 , 14.000000
1 , 0.818281
2 , 0.000340
4 , 0.000772
8 , 0.001764
16 , 0.003601
32 , 0.007104
64 , 0.014111
128 , 0.027441
256 , 0.056055
512 , 0.109375
1024 , 0.228125
2048 , 0.435937
4096 , 0.887500
8192 , 0.456250
16384 , 0.850000
32768 , 1.800000
65536 , 3.700000
1 , 0.211323
2 , 0.000040
4 , 0.000099
8 , 0.000607
16 , 0.000464
32 , 0.000842
64 , 0.001660
128 , 0.003320
256 , 0.006836
512 , 0.013672
1024 , 0.027344
2048 , 0.054688
4096 , 0.107813
8192 , 0.215625
16384 , 0.418750
32768 , 0.900000
65536 , 1.825000
131072 , 3.250000
1 , 0.227749
2 , 0.000024
4 , 0.000037
8 , 0.000093
16 , 0.000153
32 , 0.000397
64 , 0.000598
128 , 0.001807
256 , 0.003076
512 , 0.006055
1024 , 0.012891
2048 , 0.028125
4096 , 0.056250
8192 , 0.109375
16384 , 0.228125
32768 , 0.312500
65536 , 0.875000
131072 , 1.200000
262144 , 2.800000
1 , 0.216567
2 , 0.000015
4 , 0.000019
8 , 0.000036
16 , 0.000073
32 , 0.000146
64 , 0.000311
128 , 0.000610
256 , 0.001221
512 , 0.002393
1024 , 0.004785
2048 , 0.012695
4096 , 0.019141
8192 , 0.038281
16384 , 0.073438
32768 , 0.146875
